zone_id,centroid_lat,centroid_lon,osm_node_id,matched_node_lat,matched_node_lon,nearest_road_id,distance_to_node_m,distance_to_road_m
Z0109,30.009087462872884,31.74038097650333,12450852600,30.0088709,31.7405398,1346138581,28.473720333021628,7.464814009947713
Z0110,30.007476638173767,31.84111274173552,8267086977,30.0100252,31.8417137,683344629,288.33177586760337,288.28344385819196
Z0111,30.009609723233094,31.71551914756925,5249727988,30.0096054,31.715027,543025624,47.47333228698987,35.2433587388422
Z0112,30.008735328907925,31.720623656082562,7607327596,30.0087337,31.7206112,814406263,1.214968076300111,0.057387461642934505
Z0113,30.00818467886806,31.783077613775866,6592538554,30.0085487,31.7834134,702005726,51.73596970067042,24.601673811647583
Z0114,30.008357983867718,31.772811536619795,8267086903,30.0082725,31.7727414,543032600,11.641420472778186,11.17633153558216
Z0115,30.00857153439325,31.72558503908196,12204648383,30.0083019,31.7262877,1549155315,74.072401091274,29.502956073698797
Z0116,30.00508564755766,31.744608453313454,9441886179,30.0047273,31.7435571,1504533665,108.91316109495041,42.05109800502768
Z0117,30.008819386540168,31.754880677428687,10161886245,30.0081715,31.7548475,1155766924,71.87522599820461,71.78307427949235
Z0118,30.007689756311535,31.758925820525903,12450877072,30.0080831,31.7588786,1346138591,43.83072758381724,10.18406869588462
Z0119,30.007204987235973,31.734232360061277,10715770075,30.0076734,31.7342809,1151899981,52.12424485157927,51.9259316032873
Z0120,30.00674268531976,31.765579848670658,12441683768,30.007709,31.7679709,1346138591,254.2865651662046,109.22484313369607
Z0121,30.002023243928118,31.79750603615307,8263583149,30.0082448,31.7978507,683344635,690.3148020053977,689.125318711958
Z0122,30.001589124896665,31.79084121865028,7086563568,30.0006886,31.7881535,1151539725,277.8106866132093,275.7560352635183
Z0123,30.00762583032315,31.804878751183807,8263583150,30.0075805,31.8058491,683344634,93.73082494989686,12.92603700738567
Z0124,30.007191147082587,31.729772619969093,10925692149,30.0075134,31.7298803,543027879,37.19456487527501,3.931854908461829
Z0125,30.004890881779247,31.75095546062452,8344867657,30.004541,31.752731,897921071,175.60401268047212,175.60401268047212
Z0126,30.015393072249996,31.697293732856224,10704226643,30.0190725,31.6981477,814406248,416.0256639181169,415.7798406865414
Z0127,30.000706207892737,31.830559271007967,6400497267,29.9995019,31.8279558,683344634,284.4011714697002,245.59156760548558
Z0128,30.00417215140629,31.72265348583656,8345544841,30.004379,31.7231759,543044756,55.36237253941631,8.211604475620124
Z0129,30.00476433181257,31.81633564370899,8263583157,30.0047793,31.8165082,683344634,16.726995617156398,7.718114214302481
Z0130,30.003625553157647,31.729733342251205,7187499416,30.0039849,31.7287356,1305743909,104.15869107320702,33.15721196676169
Z0131,30.002582957273816,31.758140831147653,10711783084,30.0024263,31.757142,543030773,97.90140252931197,96.212313479314
Z0132,30.001565427046096,31.72786444707113,8345544686,30.0016064,31.7277874,897996300,8.70971882331067,8.587448973347964
Z0133,29.998910277116806,31.782581987697494,5249787286,30.0027328,31.7788871,1370639429,553.6298349839532,553.1941207197326
Z0134,29.998872496183644,31.728632486117082,5249942868,29.9990978,31.7282103,543027879,47.772199337477424,44.35837432240951
Z0135,29.999233961882066,31.722775577542592,10574294237,29.999265,31.7233202,1134230722,52.65029988482087,43.98789636200888
Z0136,29.99839819388625,31.75720260803215,10161890999,29.9983057,31.7568378,543030773,36.65429608590138,9.309581975808449
Z0137,29.997571719328054,31.769511498395346,10736926231,29.9953196,31.7685345,543026834,266.7980738332584,101.81224702114031
Z0138,29.99701933035216,31.71716367943531,10180476578,29.9969905,31.7171629,1112669281,3.1961234144210104,2.8963515878433883
Z0139,29.994501517014562,31.7254316799059,5249773041,29.994848,31.7263239,543025626,94.25059589078715,94.25059589078715
Z0140,29.995487773834874,31.752923179599023,10161890974,29.9956912,31.7526828,1110724904,32.34238112052657,28.050335858929767
Z0141,29.994402429208392,31.711125346538704,10180318634,29.9951046,31.7104386,1112669273,102.20242193641032,0.5953133059564215
Z0142,29.991055483305807,31.72996716838117,10711782942,29.9913529,31.7306212,829929399,71.18813312791372,67.37744725464299
Z0143,29.991129164314355,31.749355272828698,8264304113,29.9912438,31.7494718,829929399,16.964386954313376,2.640389392902434
Z0144,29.99099304644108,31.762213416466913,12641004396,29.9908169,31.7622478,543026834,19.80167052068787,13.38677262046615
Z0145,29.98429274295618,31.735732756585364,11348634798,29.9851978,31.7357495,1223466105,100.31883829175877,99.18461771243815
Z0146,29.985796391623808,31.742603552556083,11348634789,29.985418,31.7427193,1223466105,43.39777043133635,43.348563590350615
Z0147,29.987317548375678,31.756013440529998,12694506807,29.9869222,31.7564218,543026834,58.923288947356745,58.920372384545345
Z0148,29.9839384827824,31.723403909253587,11186086741,29.9847638,31.722182,829929399,149.2139214044411,149.20641466224944
Z0149,29.97898348661377,31.75033087100716,12640635272,29.9789331,31.7527875,1355188992,237.09435058514845,237.06853983737585
